Gestioni collegate complete;Att. IVA;Regime IVA;Sez.;Protocollo;Data registrazione;Numero;Data doc.;Data ricezione;Fornitore;Tipo doc.;Totale documento;Netto a pagare;Ritenuta;Valuta;Causale;Allegati
Si;1;Normale;1;230;29-04-2026;218;29-04-2026;29-04-2026;ODONTOCAP S.R.L.;Fattura;4.614,00;0,00;0,00;EUR;1;No
Si;1;Normale;1;229;29-04-2026;152;29-04-2026;29-04-2026;LEZZI DANIELE DIELLE;Fattura differita art.21, c.4 lett. a);358,07;358,07;0,00;EUR;202;Si
No;1;Normale;1;228;27-04-2026;22;27-04-2026;27-04-2026;PROVENZANO PASQUALE;Fattura;2.328,36;1.862,69;465,67;EUR;1;No
Si;1;Normale;1;227;27-04-2026;102;27-04-2026;27-04-2026;INFINITY SRL;Fattura;244,00;244,00;0,00;EUR;1;No
Si;1;Normale;1;226;27-04-2026;13/A;24-04-2026;27-04-2026;GIGANTI ALESSANDRA;Fattura;390,57;390,57;0,00;EUR;252;No
Si;1;Normale;1;225;25-04-2026;4109670992;24-04-2026;25-04-2026;HENRY SCHEIN KRUGG S.R.L;Fattura;152,50;152,50;0,00;EUR;1;No
No;1;Normale;1;224;23-04-2026;28/001;23-04-2026;23-04-2026;LAZZARI GIUSEPPE;Fattura;1.220,00;1.020,00;200,00;EUR;1;No
No;1;Normale;1;223;23-04-2026;27/001;23-04-2026;23-04-2026;LAZZARI GIUSEPPE;Fattura;10.417,99;8.334,39;2.083,60;EUR;1;No
Si;1;Normale;1;222;23-04-2026;FAD-2026-1245;21-04-2026;23-04-2026;ITES COM S.R.L.;Fattura differita art.21, c.4 lett. a);873,63;873,63;0,00;EUR;1;No
Si;1;Normale;1;221;22-04-2026;21;22-04-2026;22-04-2026;D'ANNA FRANCESCO;Fattura;7.507,16;7.507,16;0,00;EUR;252;No
No;1;Normale;1;220;22-04-2026;17;22-04-2026;22-04-2026;EDIL B.& C. SAS DI BARBIERI STEFANO E C.;Fattura;1.200,00;1.200,00;0,00;EUR;333;No
Si;1;Normale;1;219;22-04-2026;5/2026-2026;21-04-2026;22-04-2026;EDOARDO PAGLIOLI;Fattura;5.560,90;0,00;0,00;EUR;252;No
Si;1;Normale;1;218;22-04-2026;V012603226011;21-04-2026;22-04-2026;SORGENIA S.P.A;Nota di credito;-172,50;0,00;0,00;EUR;3;Si
